city,count
שער העמקים,21 
שער מנשה,16 
שערי תקווה,11 
שפיים,13 
שפיר,46 
שפר,74 
שפרעם,38 
שקד,6 
שקף,8 
שרונה,7 
שריגים - לי-און,5 
שריגים - ליאון,7 
שריד,29 
שרשרת,27 
שתולה,181 
שתולים,77 
תארבין,7 
תאשור,11 
תדהר,13 
תובל,31 
תומר,2 
תחנת רכבת כפר ברוך,12 
תחנת רכבת כפר יהושוע,17 
תחנת רכבת קריית מלאכי - יואב,5 
תחנת רכבת ראש העין,18 
תימורים,33 
תירוש,33 
תל אביב,108 
תל חי,332 
תל יוסף,6 
תל יצחק,13 
תל מונד,12 
תל עדשים,11 
תל ערד והפזורה,28 
תל ערד,34 
תל ציון,3 
תל קציר,11 
תל שבע,54 
תל תאומים,4 
תלם,8 
תלמי אליהו,17 
תלמי אלעזר,31 
תלמי ביל''ו,10 
תלמי יוסף,18 
תלמי יחיאל,52 
תלמי יפה,27 
תלמים,8 
תמרת,15 
תנובות,12 
תעוז,6 
תעשיון חצב,18 
תעשיון צריפין,49 
תפרח,28 
תקומה,64 
תקוע,8 
תראבין א-צאנע והפזורה,28 
תרום,10 
      
